Rank,Type,Description,Reported Losses 2024,Estimated True Losses 2024
1,Investment Scams,Fake investment/crypto schemes inducing victims to send funds,$6.6B,$46.6B
2,Business Email Compromise Scam,Spoofed/compromised business or personal email accounts to redirect payments,$2.8B,$19.7B
3,Tech Support Scams,Scammers posing as tech/security support to gain remote access or extract money,$1.5B,$10.4B
4,Non-Payment/Delivery Scams,Victim pays for goods/services never delivered (fake sellers/marketplace scams),$0.8B,$5.6B
5,Confidence/Romance Scams,Trust/relationship scams (romance family friends) used to solicit money,$0.7B,$4.7B
6,Government Impersonation Scams,Fraudsters impersonate IRS/SSA/other officials to coerce payments or personal information,$0.4B,$2.9B
7,Other,Miscellaneous cyber-enabled scams and crimes not elsewhere categorized,$0.3B,$2.0B
8,Employment Scams,Fake job offers/scams requiring upfront payments or money-moving schemes,$0.3B,$1.9B
9,Credit Card Fraud and Scams,Unauthorized use of credit/debit cards or card numbers to obtain goods/funds,$0.3B,$1.9B
10,Real Estate/Rental Scams,Fraudulent listings title/escrow scams or fake landlords/sellers,$0.2B,$1.5B
