Crime_Type,Count_2024,Count_2023,Count_2022,Loss_USD_2024,Loss_USD_2023,Loss_USD_2022
Advanced Fee,7097,8045,11264,102074512,134516577,104325444
Business Email Compromise,21442,21489,21832,2770151146,2946830270,2742354049
Botnet,587,540,568,8860202,22422708,17099378
Confidence Fraud/Romance,17910,17823,19021,672009052,652544805,735882192
Credit Card/Check Fraud,12876,13718,22985,199889841,173627614,264148905
Crimes Against Children,4472,2361,2587,519424,2031485,577464
Data Breach,3204,3727,2795,364855818,534397222,459321859
Employment,20044,15443,14946,264223271,70234079,52204269
Extortion,86415,48223,39416,143185736,74821835,54335128
Government Impersonation,17367,14190,11554,405624084,394050518,240553091
Harassment/Stalking,11672,9587,11779,10611223,9677332,5621402
Identity Theft,21403,19778,27922,174354745,126203809,189205793
Investment,47919,39570,30529,6570639864,4570275683,3311742206
IPR/Copyright and Counterfeit,1583,1498,2183,8715512,7555329,4591177
Lottery/Sweepstakes/Inheritance,3690,4168,5650,102212250,94502836,83602376
Malware,441,659,762,1365945,1213317,9326482
Non-Payment/Non-Delivery,49572,50523,51679,785436888,309648416,281770073
Other,12318,8808,9966,280278325,240053059,117686789
Overpayment,2705,4144,6183,21452521,27955195,38335772
Personal Data Breach,64882,55851,58859,1453296303,744219879,742438136
Phishing/Spoofing,193407,298878,321136,70013036,18728550,160015411
Ransomware,3156,2825,2385,12473156,59641384,34353237
Real Estate,9359,9521,11727,173586820,145243348,396932821
SIM Swap,982,1075,2026,25983946,48798103,72652571
Tech Support,36002,37560,32538,1464755976,924512658,806551993
Threats of Violence,1360,1697,2224,1842186,13531178,4972099
